"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2010-08-31T22:00:00.000Z","0.1590","0.1719","0.1585","0.1708","7.63","7.91","0"
"2010-09-30T22:00:00.000Z","0.1701","0.1753","0.1680","0.1695","-0.79","-0.51","0"
"2010-10-31T23:00:00.000Z","0.1705","0.1754","0.1604","0.1623","-4.23","-3.95","0"
"2010-11-30T23:00:00.000Z","0.1614","0.1722","0.1610","0.1703","4.94","5.22","0"
"2011-01-02T23:00:00.000Z","0.1715","0.1746","0.1668","0.1715","0.71","0.99","0"
"2011-01-31T23:00:00.000Z","0.1736","0.1800","0.1700","0.1770","3.19","3.47","0"
"2011-02-28T23:00:00.000Z","0.1791","0.1818","0.1748","0.1794","1.35","1.63","0"
"2011-03-31T22:00:00.000Z","0.1807","0.1914","0.1798","0.1912","6.57","6.85","0"
"2011-05-01T22:00:00.000Z","0.1906","0.1919","0.1777","0.1848","-3.37","-3.09","0"
"2011-05-31T22:00:00.000Z","0.1866","0.1880","0.1788","0.1864","0.92","1.19","0"
"2011-06-30T22:00:00.000Z","0.1858","0.1876","0.1776","0.1852","-0.66","-0.38","0"
"2011-07-31T22:00:00.000Z","0.1858","0.1878","0.1793","0.1866","0.74","1.02","0"
"2011-08-31T22:00:00.000Z","0.1865","0.1883","0.1692","0.1725","-7.56","-7.28","0"
"2011-10-02T22:00:00.000Z","0.1700","0.1852","0.1675","0.1842","6.77","7.05","0"
"2011-10-31T23:00:00.000Z","0.1801","0.1803","0.1686","0.1711","-7.10","-6.82","0"
"2011-11-30T23:00:00.000Z","0.1734","0.1750","0.1657","0.1668","-2.50","-2.22","0"
"2012-01-01T23:00:00.000Z","0.1675","0.1727","0.1642","0.1719","3.07","3.35","0"
"2012-01-31T23:00:00.000Z","0.1719","0.1808","0.1702","0.1799","4.64","4.92","0"
"2012-02-29T23:00:00.000Z","0.1790","0.1798","0.1713","0.1744","-3.06","-2.78","0"
"2012-04-01T22:00:00.000Z","0.1763","0.1768","0.1714","0.1744","0.01","0.29","0"
"2012-04-30T22:00:00.000Z","0.1748","0.1753","0.1634","0.1643","-5.79","-5.51","0"
"2012-05-31T22:00:00.000Z","0.1636","0.1696","0.1622","0.1650","0.41","0.69","0"
"2012-07-01T22:00:00.000Z","0.1680","0.1680","0.1629","0.1655","0.32","0.60","0"
"2012-07-31T22:00:00.000Z","0.1658","0.1734","0.1647","0.1720","3.88","4.16","0"
"2012-09-02T22:00:00.000Z","0.1725","0.1772","0.1707","0.1752","1.89","2.17","0"
"2012-09-30T22:00:00.000Z","0.1741","0.1782","0.1724","0.1745","-0.39","-0.11","0"
"2012-10-31T23:00:00.000Z","0.1755","0.1775","0.1724","0.1759","0.76","1.04","0"
"2012-12-02T23:00:00.000Z","0.1762","0.1809","0.1757","0.1793","1.99","2.27","0"
