"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2010-08-31T22:00:00.000Z","75.37","82.37","75.26","82.31","10.28","9.63","9,591"
"2010-09-30T22:00:00.000Z","82.50","86.01","81.05","83.15","1.02","0.38","7,714"
"2010-10-31T23:00:00.000Z","84.00","89.41","82.46","85.92","3.33","2.69","12,624"
"2010-11-30T23:00:00.000Z","87.23","95.12","87.19","94.75","10.28","9.63","8,990"
"2011-01-01T23:00:00.000Z","95.45","101.67","92.42","101.01","6.61","5.96","17,704"
"2011-01-31T23:00:00.000Z","100.49","118.03","97.56","111.80","10.68","10.04","27,851"
"2011-02-28T23:00:00.000Z","112.37","117.90","108.08","117.36","4.97","4.33","28,970"
"2011-03-31T22:00:00.000Z","117.79","127.30","116.84","125.89","7.27","6.63","18,795"
"2011-04-30T22:00:00.000Z","125.50","126.11","108.35","116.73","-7.28","-7.92","21,481"
"2011-05-31T22:00:00.000Z","115.97","120.71","102.40","112.48","-3.64","-4.28","19,525"
"2011-06-30T22:00:00.000Z","110.58","119.79","109.94","116.74","3.79","3.14","12,092"
"2011-07-31T22:00:00.000Z","118.09","119.95","99.06","114.85","-1.62","-2.26","26,360"
"2011-08-31T22:00:00.000Z","114.08","116.49","101.83","102.76","-10.53","-11.17","17,587"
"2011-10-01T22:00:00.000Z","101.85","114.74","99.38","109.56","6.62","5.97","23,438"
"2011-10-31T23:00:00.000Z","109.25","116.43","106.86","110.82","1.15","0.51","21,533"
"2011-11-30T23:00:00.000Z","109.68","111.46","102.83","107.38","-3.10","-3.75","11,389"
"2011-12-31T23:00:00.000Z","109.95","114.52","109.04","110.98","3.35","2.71","14,404"
"2012-01-31T23:00:00.000Z","112.32","125.55","111.29","122.66","10.52","9.88","19,706"
"2012-02-29T23:00:00.000Z","123.46","128.25","121.43","122.88","0.18","-0.46","16,066"
"2012-03-31T22:00:00.000Z","122.21","125.95","116.74","119.47","-2.78","-3.42","12,778"
"2012-04-30T22:00:00.000Z","119.00","119.96","101.32","101.87","-14.73","-15.37","30,755"
"2012-05-31T22:00:00.000Z","99.53","102.29","89.04","97.80","-4.00","-4.64","24,672"
"2012-06-30T22:00:00.000Z","96.09","108.14","95.81","104.92","7.28","6.64","24,626"
"2012-07-31T22:00:00.000Z","105.64","116.90","105.31","114.57","9.20","8.56","51,785"
"2012-09-01T22:00:00.000Z","115.80","117.00","107.66","112.39","-1.90","-2.55","20,305"
"2012-09-30T22:00:00.000Z","111.72","115.91","106.93","108.70","-3.28","-3.93","13,171"
"2012-10-31T23:00:00.000Z","108.29","111.64","105.06","111.23","2.33","1.69","12,207"
"2012-12-01T23:00:00.000Z","111.42","112.32","106.70","111.11","-0.11","-0.75","14,792"
"2013-01-01T23:00:00.000Z","111.94","115.73","109.70","115.55","4.00","3.35","53,584"
"2013-01-31T23:00:00.000Z","115.87","119.15","110.87","111.38","-3.61","-4.25","67,751"
"2013-02-28T23:00:00.000Z","110.56","111.81","107.01","110.02","-1.22","-1.86","60,668"
"2013-03-31T22:00:00.000Z","109.68","111.78","97.55","102.37","-6.95","-7.60","94,354"
"2013-04-30T22:00:00.000Z","100.80","105.93","98.76","100.39","-1.93","-2.58","104,092"
"2013-06-01T22:00:00.000Z","101.06","106.53","99.72","102.16","1.76","1.12","107,914"
"2013-06-30T22:00:00.000Z","102.72","109.40","102.52","107.70","5.42","4.78","116,013"
"2013-07-31T22:00:00.000Z","109.20","117.02","105.85","114.01","5.86","5.22","122,873"
"2013-08-31T22:00:00.000Z","115.07","116.51","107.23","108.37","-4.95","-5.59","127,518"
"2013-09-30T22:00:00.000Z","108.35","111.98","106.28","108.84","0.43","-0.21","140,426"
